SimDate,Flow,TN,TP
1/1/1999,0,0,1.09893
1/1/1999 12:00,0,1.69738,0.79379
1/2/1999 12:00,0.01448,1.59982,0.54376
1/3/1999 12:00,6.37514,1.45062,0.5632
1/4/1999 12:00,25.51488,1.46408,0.61667
1/5/1999 12:00,40.68415,1.49322,0.67251
1/6/1999 12:00,71.26743,1.52252,0.71844
1/7/1999 12:00,93.15466,1.55235,0.76959
1/8/1999 12:00,94.10222,1.58646,0.8154
1/9/1999 12:00,82.63192,1.62092,0.84282
1/10/1999 12:00,73.05455,1.65723,0.84927
1/11/1999 12:00,62.5969,1.69883,0.84713
1/12/1999 12:00,52.53266,1.74276,0.84428
1/13/1999 12:00,44.3787,1.78915,0.84399
1/14/1999 12:00,38.88527,1.83801,0.84791
1/15/1999 12:00,36.27378,1.90098,0.8524
1/16/1999 12:00,32.08538,1.97842,0.85753
1/17/1999 12:00,26.03328,2.05304,0.85752
1/18/1999 12:00,23.30767,2.11868,0.85074
1/19/1999 12:00,22.04883,2.1855,0.84159
1/20/1999 12:00,21.15646,2.251,0.83519
1/21/1999 12:00,20.19957,2.31217,0.83269
1/22/1999 12:00,19.39887,2.36812,0.82902
1/23/1999 12:00,18.91329,2.41985,0.82723
1/24/1999 12:00,19.28834,2.62711,0.86099
1/25/1999 12:00,20.53317,2.9924,0.92037
1/26/1999 12:00,22.14885,2.9909,0.98606
1/27/1999 12:00,24.19357,2.86852,1.00317
1/28/1999 12:00,26.22781,2.66753,0.97885
1/29/1999 12:00,26.87988,2.5077,0.94385
1/30/1999 12:00,25.64647,2.41746,0.91005
1/31/1999 12:00,23.80005,2.38801,0.87879
2/1/1999 12:00,21.89609,2.40425,0.85312
2/2/1999 12:00,19.48983,2.43302,0.83667
2/3/1999 12:00,16.71902,2.45453,0.83281
2/4/1999 12:00,14.22482,2.48576,0.83788
2/5/1999 12:00,12.55748,2.4907,0.84526
2/6/1999 12:00,11.75358,2.49556,0.85272
2/7/1999 12:00,11.19907,2.50374,0.86008
2/8/1999 12:00,10.75988,2.51202,0.86671
2/9/1999 12:00,10.34102,2.52188,0.87275
2/10/1999 12:00,9.89295,2.52793,0.87947
2/11/1999 12:00,9.47557,2.52796,0.88743
2/12/1999 12:00,9.14418,2.5269,0.89566
2/13/1999 12:00,9.30597,2.55103,0.90517
2/14/1999 12:00,10.14355,2.62999,0.90953
2/15/1999 12:00,10.7528,2.65801,0.90293
2/16/1999 12:00,10.61265,2.57848,0.90207
2/17/1999 12:00,10.00452,2.49194,0.90724
2/18/1999 12:00,9.25493,2.44462,0.91614
2/19/1999 12:00,8.41796,2.42184,0.92906
2/20/1999 12:00,7.54145,2.3949,0.94623
2/21/1999 12:00,6.74272,2.35228,0.96274
2/22/1999 12:00,6.09379,2.3112,0.97437
2/23/1999 12:00,5.63053,2.29791,0.98317
2/24/1999 12:00,5.28842,2.30802,0.99109
2/25/1999 12:00,4.90053,2.31656,0.99997
2/26/1999 12:00,4.31044,2.29739,1.01356
2/27/1999 12:00,3.52259,2.2213,1.03186
2/28/1999 12:00,2.93258,2.10537,1.04862
3/1/1999 12:00,2.58918,1.99659,1.06069
3/2/1999 12:00,2.39146,1.91914,1.06554
