SimDate,Flow,TN,TP
1/1/1999,0,0.456,0.45
1/1/1999 12:00,0.39671,0.45665,0.45052
1/2/1999 12:00,0.40784,0.45786,0.45155
1/3/1999 12:00,2.11669,0.45869,0.45178
1/4/1999 12:00,24.47148,0.45896,0.4514
1/5/1999 12:00,20.13009,0.47277,0.45808
1/6/1999 12:00,22.30517,0.55984,0.53046
1/7/1999 12:00,30.03209,0.62395,0.62026
1/8/1999 12:00,51.09461,0.65224,0.6935
1/9/1999 12:00,73.96973,0.66954,0.74167
1/10/1999 12:00,88.94554,0.68228,0.78013
1/11/1999 12:00,88.06185,0.69279,0.81197
1/12/1999 12:00,73.0992,0.7079,0.83814
1/13/1999 12:00,60.57348,0.72463,0.85116
1/14/1999 12:00,55.90493,0.73862,0.85086
1/15/1999 12:00,47.21391,0.75219,0.84585
1/16/1999 12:00,43.16387,0.76891,0.84577
1/17/1999 12:00,37.05673,0.78838,0.84794
1/18/1999 12:00,32.75961,0.81187,0.85184
1/19/1999 12:00,31.12542,0.82965,0.84855
1/20/1999 12:00,30.97705,0.84572,0.84046
1/21/1999 12:00,29.6935,0.85372,0.81502
1/22/1999 12:00,23.53831,0.89675,0.82385
1/23/1999 12:00,23.84255,0.95341,0.84182
1/24/1999 12:00,23.63072,0.99127,0.83687
1/25/1999 12:00,29.83012,1.02402,0.8229
1/26/1999 12:00,21.56102,1.04595,0.80437
1/27/1999 12:00,21.53938,1.08964,0.82353
1/28/1999 12:00,21.64775,1.11785,0.86686
1/29/1999 12:00,24.32021,1.10972,0.9201
1/30/1999 12:00,26.09864,1.06483,0.96419
1/31/1999 12:00,27.41082,1.01031,0.97931
2/1/1999 12:00,25.46862,0.97526,0.96759
2/2/1999 12:00,22.22443,0.96836,0.9464
2/3/1999 12:00,25.05859,0.98337,0.9218
2/4/1999 12:00,23.91024,1.00195,0.88464
2/5/1999 12:00,20.53148,1.02091,0.84968
2/6/1999 12:00,16.5107,1.04179,0.82645
2/7/1999 12:00,11.77315,1.06071,0.81758
2/8/1999 12:00,11.70442,1.08529,0.82005
2/9/1999 12:00,9.8881,1.10416,0.82622
2/10/1999 12:00,17.68385,1.12612,0.83334
2/11/1999 12:00,10.94897,1.13232,0.83371
2/12/1999 12:00,9.3854,1.13044,0.83405
2/13/1999 12:00,16.36949,1.14291,0.8426
2/14/1999 12:00,13.80009,1.14321,0.84626
2/15/1999 12:00,9.15129,1.13061,0.84536
2/16/1999 12:00,8.77652,1.11858,0.84512
2/17/1999 12:00,8.62092,1.1232,0.85396
2/18/1999 12:00,8.6636,1.13463,0.8679
2/19/1999 12:00,10.49611,1.14344,0.88194
2/20/1999 12:00,13.29469,1.138,0.89012
2/21/1999 12:00,10.81019,1.11363,0.88579
2/22/1999 12:00,13.54675,1.08651,0.87608
2/23/1999 12:00,5.74693,1.05563,0.86314
2/24/1999 12:00,6.45544,1.04583,0.8636
2/25/1999 12:00,5.83387,1.03822,0.86815
2/26/1999 12:00,6.5566,1.03384,0.87652
2/27/1999 12:00,3.86683,1.00275,0.86221
2/28/1999 12:00,5.26346,1.00357,0.87011
3/1/1999 12:00,8.37264,1.00743,0.88355
3/2/1999 12:00,4.04685,1.00685,0.89396
3/3/1999 12:00,2.3354,0.97296,0.87076
3/4/1999 12:00,13.56233,0.98202,0.88488
3/5/1999 12:00,4.4957,0.98219,0.89523
3/6/1999 12:00,3.06713,0.96545,0.8866
3/7/1999 12:00,5.05231,0.95872,0.8866
3/8/1999 12:00,10.91437,0.94741,0.88939
3/9/1999 12:00,1.61176,0.84199,0.79639
3/10/1999 12:00,2.73155,0.8156,0.77484
3/11/1999 12:00,8.02858,0.83776,0.80205
3/12/1999 12:00,4.59687,0.85805,0.83023
3/13/1999 12:00,2.6752,0.83949,0.81513
3/14/1999 12:00,1.11632,0.74605,0.72423
3/15/1999 12:00,11.52032,0.77803,0.75954
3/16/1999 12:00,13.57542,0.82735,0.81783
3/17/1999 12:00,3.61349,0.8291,0.82254
3/18/1999 12:00,3.82129,0.82412,0.81764
3/19/1999 12:00,4.51016,0.82851,0.82301
3/20/1999 12:00,4.69283,0.83495,0.83023
3/21/1999 12:00,3.60343,0.83456,0.82934
3/22/1999 12:00,8.17317,0.84444,0.83942
3/23/1999 12:00,4.29587,0.85484,0.84841
3/24/1999 12:00,3.76677,0.85937,0.85071
3/25/1999 12:00,3.76396,0.86255,0.85163
3/26/1999 12:00,4.43823,0.86523,0.85235
3/27/1999 12:00,7.37543,0.86846,0.85464
3/28/1999 12:00,5.09658,0.8714,0.85804
3/29/1999 12:00,2.6938,0.86392,0.84858
3/30/1999 12:00,3.28259,0.86549,0.85
3/31/1999 12:00,2.59248,0.8581,0.84151
4/1/1999 12:00,2.40408,0.84345,0.82587
4/2/1999 12:00,7.48177,0.85202,0.83526
4/3/1999 12:00,2.97859,0.86084,0.84416
4/4/1999 12:00,3.60214,0.8642,0.84676
4/5/1999 12:00,2.69304,0.86411,0.84516
4/6/1999 12:00,2.93405,0.86581,0.84578
4/7/1999 12:00,6.0943,0.8701,0.84927
4/8/1999 12:00,2.33883,0.86332,0.83997
4/9/1999 12:00,2.39145,0.857,0.83248
4/10/1999 12:00,2.50152,0.85843,0.83311
4/11/1999 12:00,4.59148,0.86416,0.83833
4/12/1999 12:00,4.38926,0.87193,0.8455
4/13/1999 12:00,5.507,0.87982,0.85287
4/14/1999 12:00,1.59982,0.85356,0.82379
4/15/1999 12:00,0.37547,0.72408,0.69901
4/16/1999 12:00,12.43216,0.75827,0.73194
4/17/1999 12:00,11.20414,0.82061,0.79074
4/18/1999 12:00,7.36888,0.84883,0.81482
4/19/1999 12:00,2.18816,0.84303,0.80483
4/20/1999 12:00,2.52812,0.84379,0.80383
4/21/1999 12:00,2.4995,0.83752,0.79599
4/22/1999 12:00,2.66704,0.83025,0.78771
4/23/1999 12:00,5.00054,0.84035,0.79611
4/24/1999 12:00,4.47428,0.85436,0.80808
4/25/1999 12:00,2.48173,0.85476,0.80702
4/26/1999 12:00,2.43599,0.8552,0.80662
4/27/1999 12:00,1.82323,0.82791,0.78064
4/28/1999 12:00,3.76904,0.83769,0.78904
4/29/1999 12:00,5.41046,0.85911,0.8089
4/30/1999 12:00,8.02346,0.88706,0.83878
5/1/1999 12:00,13.13498,0.91144,0.88176
5/2/1999 12:00,9.31184,0.90828,0.91984
5/3/1999 12:00,9.89992,0.89092,0.94189
5/4/1999 12:00,9.21408,0.87562,0.95498
5/5/1999 12:00,7.64437,0.86399,0.95795
5/6/1999 12:00,6.88187,0.85408,0.95708
5/7/1999 12:00,6.63037,0.8445,0.95623
5/8/1999 12:00,9.67868,0.83272,0.95343
5/9/1999 12:00,9.1009,0.8183,0.94293
5/10/1999 12:00,8.72672,0.80509,0.92464
5/11/1999 12:00,7.38693,0.79704,0.9051
5/12/1999 12:00,7.53856,0.79229,0.88342
5/13/1999 12:00,6.68078,0.78704,0.86039
5/14/1999 12:00,6.09987,0.78224,0.84471
5/15/1999 12:00,9.09664,0.77567,0.8313
5/16/1999 12:00,10.58916,0.76655,0.8213
5/17/1999 12:00,6.89639,0.76015,0.81684
5/18/1999 12:00,5.17659,0.75861,0.81434
5/19/1999 12:00,6.3221,0.759,0.81564
5/20/1999 12:00,6.54689,0.76218,0.82163
5/21/1999 12:00,8.65702,0.76996,0.83424
5/22/1999 12:00,8.83683,0.78102,0.85149
5/23/1999 12:00,6.99496,0.78786,0.86314
5/24/1999 12:00,6.17182,0.78952,0.86484
5/25/1999 12:00,6.51862,0.78802,0.8597
5/26/1999 12:00,7.85193,0.78248,0.84658
5/27/1999 12:00,6.62958,0.7748,0.8276
5/28/1999 12:00,6.9177,0.76824,0.81013
5/29/1999 12:00,9.12105,0.76476,0.79549
5/30/1999 12:00,16.02615,0.76775,0.81424
5/31/1999 12:00,19.80524,0.75029,0.8657
6/1/1999 12:00,18.79132,0.68713,0.87028
6/2/1999 12:00,15.2764,0.63519,0.84349
6/3/1999 12:00,15.1677,0.61037,0.81481
6/4/1999 12:00,12.88618,0.60068,0.78609
6/5/1999 12:00,8.40017,0.60078,0.76364
6/6/1999 12:00,10.67484,0.60648,0.74975
6/7/1999 12:00,9.56531,0.61739,0.73996
6/8/1999 12:00,7.24068,0.62903,0.73376
6/9/1999 12:00,5.07788,0.63449,0.72629
6/10/1999 12:00,5.53726,0.64006,0.72297
6/11/1999 12:00,8.06219,0.65075,0.72457
6/12/1999 12:00,6.19217,0.66261,0.72489
6/13/1999 12:00,8.40083,0.67709,0.72885
6/14/1999 12:00,12.80691,0.70167,0.74743
6/15/1999 12:00,14.77379,0.73032,0.79519
6/16/1999 12:00,18.16737,0.74166,0.85681
6/17/1999 12:00,31.22288,0.77042,0.94253
6/18/1999 12:00,55.83606,0.75399,1.12094
6/19/1999 12:00,84.68172,0.68422,1.21677
6/20/1999 12:00,104.58905,0.6378,1.14425
6/21/1999 12:00,105.32804,0.60392,1.06221
6/22/1999 12:00,101.74764,0.58233,1.01559
6/23/1999 12:00,92.17369,0.58095,0.99619
6/24/1999 12:00,88.27562,0.58402,0.98999
6/25/1999 12:00,88.41033,0.57224,1.01379
6/26/1999 12:00,87.26743,0.55045,1.03084
6/27/1999 12:00,85.63612,0.53298,0.99705
6/28/1999 12:00,87.95933,0.51592,0.97677
6/29/1999 12:00,91.33959,0.49738,0.99608
6/30/1999 12:00,92.24742,0.49489,0.99768
7/1/1999 12:00,97.1653,0.5202,0.99733
7/2/1999 12:00,112.67305,0.55628,1.05001
7/3/1999 12:00,125.15108,0.5641,1.07898
7/4/1999 12:00,125.96279,0.54556,1.04216
7/5/1999 12:00,117.78748,0.53907,0.99121
7/6/1999 12:00,105.16578,0.54524,0.94582
7/7/1999 12:00,92.16044,0.55772,0.90919
7/8/1999 12:00,80.97123,0.57166,0.88134
7/9/1999 12:00,72.25571,0.58376,0.86133
7/10/1999 12:00,64.57546,0.59432,0.85064
7/11/1999 12:00,58.10176,0.60597,0.84701
7/12/1999 12:00,51.91068,0.61657,0.84139
7/13/1999 12:00,47.6199,0.62664,0.83253
7/14/1999 12:00,43.84665,0.63931,0.81696
7/15/1999 12:00,39.88463,0.65059,0.7906
7/16/1999 12:00,36.60542,0.65676,0.75846
7/17/1999 12:00,33.82297,0.6584,0.72799
7/18/1999 12:00,32.23482,0.6592,0.70498
7/19/1999 12:00,32.51605,0.66293,0.69508
7/20/1999 12:00,34.33988,0.66089,0.72445
7/21/1999 12:00,35.32476,0.64453,0.77922
7/22/1999 12:00,33.75567,0.63094,0.79108
7/23/1999 12:00,29.06825,0.63156,0.76848
7/24/1999 12:00,29.61083,0.64361,0.73987
7/25/1999 12:00,28.83281,0.6522,0.7056
7/26/1999 12:00,28.09693,0.68069,0.70531
7/27/1999 12:00,23.88878,0.71145,0.71381
7/28/1999 12:00,21.30857,0.73315,0.7183
7/29/1999 12:00,19.53851,0.75431,0.7296
7/30/1999 12:00,19.46552,0.7686,0.74099
7/31/1999 12:00,19.28936,0.77359,0.74761
8/1/1999 12:00,20.51889,0.77149,0.74793
8/2/1999 12:00,18.93141,0.76424,0.74074
8/3/1999 12:00,18.90059,0.76019,0.73358
8/4/1999 12:00,15.84522,0.75889,0.72764
8/5/1999 12:00,13.93717,0.76088,0.72586
8/6/1999 12:00,12.88327,0.76365,0.72558
8/7/1999 12:00,23.09833,0.77049,0.72854
8/8/1999 12:00,20.05808,0.7632,0.72163
8/9/1999 12:00,17.46816,0.75364,0.72364
8/10/1999 12:00,18.21828,0.7413,0.73737
8/11/1999 12:00,20.22962,0.71746,0.75056
8/12/1999 12:00,21.29929,0.69032,0.75594
8/13/1999 12:00,20.89298,0.67186,0.75204
8/14/1999 12:00,16.03253,0.66537,0.74389
8/15/1999 12:00,15.70145,0.67029,0.74184
8/16/1999 12:00,19.12265,0.68108,0.74346
8/17/1999 12:00,21.95018,0.68786,0.73839
8/18/1999 12:00,19.00692,0.68388,0.74418
8/19/1999 12:00,21.98453,0.67307,0.79143
8/20/1999 12:00,22.99972,0.64259,0.8189
8/21/1999 12:00,26.60128,0.61767,0.80548
8/22/1999 12:00,29.04324,0.60749,0.79546
8/23/1999 12:00,33.37342,0.5896,0.82636
8/24/1999 12:00,36.45658,0.56013,0.88574
8/25/1999 12:00,37.68073,0.54828,0.94641
8/26/1999 12:00,36.04643,0.54257,0.95036
8/27/1999 12:00,37.1199,0.54725,0.91172
8/28/1999 12:00,36.27091,0.56808,0.87808
8/29/1999 12:00,31.68864,0.58761,0.86516
8/30/1999 12:00,30.85329,0.60505,0.872
8/31/1999 12:00,32.0463,0.61658,0.87503
9/1/1999 12:00,31.64948,0.62896,0.86017
9/2/1999 12:00,29.57437,0.64142,0.82301
9/3/1999 12:00,26.53532,0.66466,0.81873
9/4/1999 12:00,23.72694,0.68495,0.85609
9/5/1999 12:00,26.99961,0.69424,0.91572
9/6/1999 12:00,31.1827,0.68822,0.95863
9/7/1999 12:00,34.88804,0.67476,0.9644
9/8/1999 12:00,29.49501,0.665,0.94153
9/9/1999 12:00,28.07158,0.66764,0.91831
9/10/1999 12:00,26.54498,0.67463,0.89115
9/11/1999 12:00,26.68631,0.68737,0.86585
9/12/1999 12:00,24.42909,0.70385,0.84193
9/13/1999 12:00,22.56448,0.7148,0.80944
9/14/1999 12:00,19.02759,0.72875,0.78475
