agency_cd,site_no,Date,Discharge_CFS,Discharge_Code,Discharge_CMS
USGS,02296750,1995-01-01,1060,A,30.016
USGS,02296750,1995-01-02,1000,A,28.317
USGS,02296750,1995-01-03,943,A,26.703
USGS,02296750,1995-01-04,888,A,25.145
USGS,02296750,1995-01-05,859,A,24.324
USGS,02296750,1995-01-06,869,A,24.607
USGS,02296750,1995-01-07,882,A,24.975
USGS,02296750,1995-01-08,958,A,27.128
USGS,02296750,1995-01-09,1070,A,30.299
USGS,02296750,1995-01-10,1080,A,30.582
USGS,02296750,1995-01-11,1000,A,28.317
USGS,02296750,1995-01-12,923,A,26.136
USGS,02296750,1995-01-13,862,A,24.409
USGS,02296750,1995-01-14,887,A,25.117
USGS,02296750,1995-01-15,1180,A,33.414
USGS,02296750,1995-01-16,1530,A,43.325
USGS,02296750,1995-01-17,1690,A,47.855
USGS,02296750,1995-01-18,1640,A,46.44
USGS,02296750,1995-01-19,1520,A,43.042
USGS,02296750,1995-01-20,1400,A,39.644
USGS,02296750,1995-01-21,1280,A,36.246
USGS,02296750,1995-01-22,1190,A,33.697
USGS,02296750,1995-01-23,1100,A,31.149
USGS,02296750,1995-01-24,1020,A,28.883
USGS,02296750,1995-01-25,912,A,25.825
USGS,02296750,1995-01-26,822,A,23.276
USGS,02296750,1995-01-27,755,A,21.379
USGS,02296750,1995-01-28,691,A,19.567
USGS,02296750,1995-01-29,644,A,18.236
USGS,02296750,1995-01-30,615,A,17.415
USGS,02296750,1995-01-31,634,A,17.953
USGS,02296750,1995-02-01,669,A,18.944
USGS,02296750,1995-02-02,681,A,19.284
USGS,02296750,1995-02-03,669,A,18.944
USGS,02296750,1995-02-04,636,A,18.01
USGS,02296750,1995-02-05,596,A,16.877
USGS,02296750,1995-02-06,557,A,15.772
USGS,02296750,1995-02-07,530,A,15.008
USGS,02296750,1995-02-08,528,A,14.951
USGS,02296750,1995-02-09,517,A,14.64
USGS,02296750,1995-02-10,508,A,14.385
USGS,02296750,1995-02-11,496,A,14.045
USGS,02296750,1995-02-12,488,A,13.819
USGS,02296750,1995-02-13,560,A,15.857
USGS,02296750,1995-02-14,873,A,24.721
USGS,02296750,1995-02-15,1020,A,28.883
USGS,02296750,1995-02-16,1050,A,29.733
USGS,02296750,1995-02-17,980,A,27.751
USGS,02296750,1995-02-18,920,A,26.051
USGS,02296750,1995-02-19,880,A,24.919
USGS,02296750,1995-02-20,874,A,24.749
USGS,02296750,1995-02-21,995,A,28.175
USGS,02296750,1995-02-22,1140,A,32.281
USGS,02296750,1995-02-23,1130,A,31.998
USGS,02296750,1995-02-24,1040,A,29.45
USGS,02296750,1995-02-25,931,A,26.363
USGS,02296750,1995-02-26,840,A,23.786
USGS,02296750,1995-02-27,792,A,22.427
USGS,02296750,1995-02-28,761,A,21.549
USGS,02296750,1995-03-01,741,A,20.983
USGS,02296750,1995-03-02,709,A,20.077
USGS,02296750,1995-03-03,671,A,19.001
USGS,02296750,1995-03-04,626,A,17.726
USGS,02296750,1995-03-05,569,A,16.112
USGS,02296750,1995-03-06,538,A,15.234
USGS,02296750,1995-03-07,521,A,14.753
USGS,02296750,1995-03-08,546,A,15.461
USGS,02296750,1995-03-09,901,A,25.513
USGS,02296750,1995-03-10,1230,A,34.83
USGS,02296750,1995-03-11,1110,A,31.432
USGS,02296750,1995-03-12,962,A,27.241
USGS,02296750,1995-03-13,892,A,25.259
USGS,02296750,1995-03-14,845,A,23.928
USGS,02296750,1995-03-15,786,A,22.257
USGS,02296750,1995-03-16,708,A,20.048
USGS,02296750,1995-03-17,604,A,17.103
USGS,02296750,1995-03-18,569,A,16.112
USGS,02296750,1995-03-19,787,A,22.285
USGS,02296750,1995-03-20,1020,A,28.883
USGS,02296750,1995-03-21,1060,A,30.016
