SimDate,Flow,TN,TP
1/1/1999,0,0.956,0.45
1/1/1999 12:00,0.08515,0.96395,0.45054
1/2/1999 12:00,0.07343,0.98156,0.45187
1/3/1999 12:00,2.16243,1.01121,0.45357
1/4/1999 12:00,15.28058,1.06582,0.44533
1/5/1999 12:00,18.34351,1.40072,0.53931
1/6/1999 12:00,24.35672,1.49561,0.6219
1/7/1999 12:00,32.05678,1.50839,0.67849
1/8/1999 12:00,59.7945,1.52476,0.7236
1/9/1999 12:00,82.67445,1.54182,0.76175
1/10/1999 12:00,86.79827,1.55293,0.79685
1/11/1999 12:00,82.13038,1.56715,0.82749
1/12/1999 12:00,71.97358,1.58973,0.84995
1/13/1999 12:00,61.22667,1.60696,0.85539
1/14/1999 12:00,53.72995,1.6213,0.85152
1/15/1999 12:00,45.66261,1.64194,0.8513
1/16/1999 12:00,41.24432,1.66101,0.85057
1/17/1999 12:00,36.84975,1.69372,0.85546
1/18/1999 12:00,32.61429,1.71634,0.8524
1/19/1999 12:00,29.882,1.73036,0.84486
1/20/1999 12:00,31.20289,1.73545,0.81773
1/21/1999 12:00,28.42733,1.78919,0.82082
1/22/1999 12:00,25.2099,1.89787,0.85536
1/23/1999 12:00,23.88844,1.93672,0.83805
1/24/1999 12:00,22.59138,1.99447,0.82835
1/25/1999 12:00,25.17506,2.06767,0.8022
1/26/1999 12:00,22.54351,2.26596,0.82756
1/27/1999 12:00,22.53191,2.40848,0.87868
1/28/1999 12:00,22.9071,2.39507,0.93708
1/29/1999 12:00,24.87357,2.29515,0.97908
1/30/1999 12:00,26.52438,2.17255,0.98916
1/31/1999 12:00,27.30245,2.0761,0.97124
2/1/1999 12:00,26.07766,2.02726,0.94461
2/2/1999 12:00,23.75678,2.0202,0.92024
2/3/1999 12:00,23.75827,2.00413,0.87817
2/4/1999 12:00,22.25304,2.00553,0.84119
2/5/1999 12:00,19.28561,2.02307,0.81733
2/6/1999 12:00,16.04359,2.05646,0.81481
2/7/1999 12:00,12.07714,2.11475,0.83589
2/8/1999 12:00,11.94616,2.13347,0.84514
2/9/1999 12:00,10.15441,2.12941,0.8478
2/10/1999 12:00,13.87004,2.09678,0.83327
2/11/1999 12:00,11.08071,2.12842,0.84868
2/12/1999 12:00,9.38104,2.16327,0.86921
2/13/1999 12:00,12.65582,2.09609,0.84608
2/14/1999 12:00,11.63858,2.0989,0.85281
2/15/1999 12:00,9.25896,2.18892,0.88928
2/16/1999 12:00,7.76115,2.25948,0.9069
2/17/1999 12:00,8.19199,2.28154,0.91201
2/18/1999 12:00,8.62971,2.25273,0.91062
2/19/1999 12:00,10.03699,2.17366,0.8981
2/20/1999 12:00,11.21158,2.07853,0.87356
2/21/1999 12:00,9.57238,2.03958,0.86973
2/22/1999 12:00,10.20927,1.99709,0.86471
2/23/1999 12:00,4.43752,2.01001,0.89712
2/24/1999 12:00,5.76731,2.0224,0.92675
2/25/1999 12:00,5.44787,2.01028,0.94098
2/26/1999 12:00,5.28216,1.99665,0.94735
2/27/1999 12:00,3.1575,1.98248,0.94892
2/28/1999 12:00,3.75409,1.98311,0.95454
3/1/1999 12:00,5.40267,1.9302,0.92949
3/2/1999 12:00,2.92264,1.88827,0.91657
3/3/1999 12:00,1.94676,1.89043,0.92906
3/4/1999 12:00,7.85775,1.80968,0.8949
3/5/1999 12:00,3.30974,1.74475,0.88464
3/6/1999 12:00,2.26151,1.76729,0.92129
3/7/1999 12:00,3.42463,1.75777,0.93468
3/8/1999 12:00,6.2379,1.69983,0.90814
